target_id,ens_gene,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,,,,
PA2943,PA2943,3.23E-06,0.000192967,-1.4616842,0.313966797,5.406668578,0.731344649,0.006777234,0.106208314,0.141085491,0.141085491,,,,
PA3032,snr1,3.25E-06,0.000192967,1.614298879,0.346848895,5.690270149,0.926153248,0.004061713,0.176394521,0.159774043,0.176394521,,,,
PA4209,phzM,3.17E-06,0.000192967,1.581205668,0.33933654,5.766979912,0.838521509,0.003951865,0.106620759,0.168772066,0.168772066,,,,
PA0754,PA0754,3.35E-06,0.000196515,-2.166301388,0.466051786,5.628059743,1.668503632,0.007381742,0.318424659,0.153612579,0.318424659,,,,
PA4207,mexI,3.42E-06,0.000198511,-2.846318146,0.612914706,5.969393537,2.88125542,0.00941055,0.554086105,0.195728313,0.554086105,,,,
PA3928,PA3928,4.08E-06,0.000234556,1.634139712,0.35469781,4.789576338,0.844263168,0.012559223,0.041365013,0.176156581,0.176156581,,,,
PA0554,PA0554,4.36E-06,0.000247608,1.680213014,0.365766919,5.97770079,0.921821141,0.003771284,0.089836728,0.196906874,0.196906874,,,,
PA5481,PA5481,4.55E-06,0.000256158,1.877939646,0.409635092,5.516345825,1.259358284,0.005294994,0.246406369,0.145982979,0.246406369,,,,
PA1099,fleR,4.66E-06,0.000259346,-2.970636732,0.64865443,5.403766287,3.152307861,0.015790279,0.615338575,0.140973872,0.615338575,,,,
PA3535,PA3535,5.03E-06,0.00027725,-2.139184481,0.468751535,5.975850849,1.636506675,0.006333774,0.323258228,0.196642581,0.323258228,,,,
PA2173,PA2173,5.36E-06,0.000292543,2.129841811,0.468078142,6.198053881,1.623784418,0.003918659,0.324727061,0.235398391,0.324727061,,,,
PA2166,PA2166,5.50E-06,0.000297467,2.698147228,0.593707261,5.85168876,2.606985513,0.005706957,0.52302551,0.179857061,0.52302551,,,,
PA1865,PA1865,5.66E-06,0.000300135,2.647853646,0.583412686,7.281198024,2.262394529,0.001383233,0.197436579,0.50917231,0.50917231,,,,
PA3983,PA3983,5.66E-06,0.000300135,1.568436367,0.345560467,5.820092751,0.764767718,0.003485235,0.029977173,0.175632819,0.175632819,,,,
PA2182,PA2182,6.23E-06,0.000323937,1.703769927,0.377076482,5.227928751,1.041473598,0.006597255,0.206682755,0.137931455,0.206682755,,,,
PA3550,algF,6.18E-06,0.000323937,2.289808106,0.506572107,5.899695903,1.880904708,0.006146219,0.37877673,0.186344404,0.37877673,,,,
PA1925,PA1925,6.56E-06,0.000337909,3.28584909,0.72898917,4.624331725,3.876751524,0.026661667,0.770476148,0.20893045,0.770476148,,,,
PA2654,tlpQ,7.52E-06,0.000383634,-2.28227943,0.50962067,5.273020031,1.874295692,0.013971032,0.37559881,0.137841896,0.37559881,,,,
PA1404,PA1404,8.57E-06,0.000433095,2.84598629,0.639485656,6.352138342,2.920621674,0.003402393,0.610010463,0.269152922,0.610010463,,,,
PA1202,PA1202,8.74E-06,0.000437592,1.948186333,0.43816583,6.422681526,1.354001854,0.002165452,0.267050619,0.28581849,0.28581849,,,,
PA1249,aprA,9.41E-06,0.000466899,3.242386394,0.731864694,8.322600593,3.29793611,0.000612245,0.179406819,0.80282665,0.80282665,,,,
PA4220,PA4220,9.64E-06,0.000474096,1.969451075,0.445068112,6.056032082,1.40132401,0.003126153,0.294002283,0.20904184,0.294002283,,,,
PA4639,PA4639,9.90E-06,0.00048221,1.484549373,0.335912497,5.737608475,0.71211007,0.004081452,0.059598569,0.165174356,0.165174356,,,,
PA4880,PA4880,1.01E-05,0.000487119,2.166153106,0.490597024,5.804583317,1.696488312,0.004581012,0.356447148,0.173591363,0.356447148,,,,
PA4624,cdrB,1.03E-05,0.000491026,1.846851772,0.418625346,6.313958425,1.133349782,0.002477972,0.135136205,0.260392799,0.260392799,,,,
PA5539,PA5539,1.17E-05,0.000553818,3.142834229,0.716939184,6.461569612,3.58002425,0.008844379,0.762158312,0.295182005,0.762158312,,,,
PA1086,flgK,1.29E-05,0.000609275,-3.162010506,0.725071404,6.303885142,3.630367382,0.005424892,0.78316792,0.258119418,0.78316792,,,,
PA0998,pqsC,1.42E-05,0.000663691,2.175316254,0.501187329,5.845313397,1.721026728,0.005031402,0.371751706,0.178999369,0.371751706,,,,
PA1001,phnA,1.52E-05,0.000704284,2.053459818,0.474745801,6.630452529,1.436835368,0.001936485,0.212846266,0.336138878,0.336138878,,,,
PA3008,sulA,1.65E-05,0.000757313,3.385057809,0.785853468,7.397040508,4.178663719,0.00156831,0.924780198,0.541898035,0.924780198,,,,
PA1561,aer,1.87E-05,0.00085134,-1.366516918,0.319317381,5.535064826,0.643235057,0.006032044,0.097748595,0.146913341,0.146913341,,,,
PA2955,PA2955,1.89E-05,0.00085134,-2.060364963,0.481639479,4.943433926,1.55190304,0.017140606,0.330824275,0.156952295,0.330824275,,,,
PA2190,PA2190,2.40E-05,0.001074458,2.24597567,0.53173713,6.966445632,1.637905402,0.001461909,0.154267327,0.422654655,0.422654655,,,,
PA2156,PA2156,2.46E-05,0.001092175,1.690117184,0.400661224,4.619725187,1.049584128,0.022504747,0.218289377,0.209978198,0.218289377,,,,
PA3274,PA3274,2.77E-05,0.00122101,2.763797149,0.659418017,5.779318574,2.813370951,0.005797187,0.646450996,0.170329996,0.646450996,,,,
PA1083,flgH,3.38E-05,0.001475024,-3.429939321,0.827218292,5.234570372,4.350493248,0.026227683,1.000207471,0.137870898,1.000207471,,,,
PA0329,PA0329,3.47E-05,0.001504532,1.994057812,0.481658103,6.655156366,1.471273401,0.001798424,0.346193368,0.342243182,0.346193368,,,,
PA4390,PA4390,3.81E-05,0.001637048,1.848410687,0.44877853,6.481528293,1.206366462,0.002090988,0.224633814,0.300012266,0.300012266,,,,
PA4228,pchD,4.20E-05,0.001789941,3.009097913,0.734586046,8.345538132,2.867583659,0.000473991,0.18850424,0.808950998,0.808950998,,,,
PA0179,PA0179,4.44E-05,0.001877209,1.668771351,0.408664875,4.934548167,1.035847722,0.00915326,0.24135721,0.157939644,0.24135721,,,,
PA0103,PA0103,4.84E-05,0.002033515,-2.220582688,0.546530398,5.41487614,1.837730813,0.010341959,0.437701255,0.141408234,0.437701255,,,,
PA2896,sbrI,4.95E-05,0.002060647,1.507067712,0.371366243,5.726266313,0.84687139,0.003924224,0.202945105,0.163832215,0.202945105,,,,
PA2895,sbrR,5.13E-05,0.002121567,1.328840434,0.328142697,5.666253012,0.55993132,0.004259408,0.033473405,0.157257036,0.157257036,,,,
PA0038,PA0038,5.60E-05,0.002294013,2.918154301,0.724296516,7.188895407,3.18421389,0.001659264,0.785248901,0.483383595,0.785248901,,,,
PA0997,pqsB,5.63E-05,0.002294013,2.324695785,0.577174261,6.194638506,2.0210193,0.003964252,0.495730938,0.234704866,0.495730938,,,,
PA1082,flgG,5.73E-05,0.002316439,-3.7874499,0.941289877,5.116351297,5.366664982,0.025674368,1.30336558,0.141810011,1.30336558,,,,
PA0527.1,rsmY,6.04E-05,0.002424075,1.783913276,0.444729214,4.32628068,1.06116841,0.01731089,0.115769656,0.27936522,0.27936522,,,,
PA1002,phnB,6.12E-05,0.002439089,1.267560163,0.31625384,5.492704172,0.538647054,0.005168196,0.065624834,0.144856541,0.144856541,,,,
PA2409,fpvE,6.20E-05,0.002450423,1.483175178,0.370309368,6.016963984,0.760845629,0.002931914,0.123196895,0.202761628,0.202761628,,,,
PA5537,PA5537,6.58E-05,0.002582995,1.873867892,0.46951763,5.398541807,1.317950429,0.005899267,0.32477094,0.140776398,0.32477094,,,,
PA3540,algD,6.82E-05,0.002658176,2.429521218,0.61004351,6.972889454,2.217355705,0.002064035,0.556165591,0.424380424,0.556165591,,,,
PA4835,cntM,6.99E-05,0.002705515,2.929051463,0.736562781,6.413261256,3.224832419,0.009221763,0.804565332,0.283564892,0.804565332,,,,
PA0737,PA0737,7.33E-05,0.002797238,1.517151718,0.382602068,5.824837792,0.866186011,0.003008799,0.216567714,0.176262286,0.216567714,,,,
PA4597,oprJ,7.28E-05,0.002797238,-1.903497389,0.479852352,5.464312876,1.363300628,0.008084434,0.337302986,0.143535547,0.337302986,,,,
PA1031,PA1031,7.81E-05,0.002959,1.936555304,0.490235588,6.720441557,1.304831352,0.001911018,0.222785754,0.358585379,0.358585379,,,,
PA2679,PA2679,8.10E-05,0.003048155,1.409326352,0.357562315,5.916251455,0.659142404,0.003205015,0.075897703,0.188571198,0.188571198,,,,
PA2433,PA2433,8.18E-05,0.003056611,2.983183208,0.757312369,6.536354523,3.358041045,0.004227483,0.856055553,0.313285023,0.856055553,,,,
PA3041,PA3041,8.49E-05,0.003150816,2.590013222,0.658996028,5.907079858,2.533581465,0.005510204,0.645903442,0.187339372,0.645903442,,,,
PA3413,PA3413,8.96E-05,0.003306116,2.406359388,0.614333725,6.145262589,2.190056762,0.003630973,0.562477916,0.224991281,0.562477916,,,,
PA2153,glgB,9.28E-05,0.003400448,1.922890996,0.491963344,6.731200604,1.216886362,0.001734802,0.132806982,0.361307096,0.361307096,,,,
PA2165,PA2165,9.71E-05,0.003533666,2.3505494,0.603062053,7.406259375,1.742873311,0.00100941,0.105676297,0.544516351,0.544516351,,,,
PA4224,pchG,0.000101548,0.003670539,2.271173028,0.584320465,7.288028572,1.929632025,0.001053828,0.476651107,0.51109178,0.51109178,,,,
PA3732,PA3732,0.000103545,0.003718077,1.360609627,0.350480043,5.859597574,0.676903111,0.003330805,0.148576125,0.180923586,0.180923586,,,,
PA5232,PA5232,0.000105452,0.003761819,-1.21507342,0.313349675,5.380068305,0.533872792,0.007165749,0.106523959,0.140116279,0.140116279,,,,
PA1870,PA1870,0.000106549,0.003776268,1.680090379,0.433552399,6.275812763,1.072372324,0.002680944,0.279270581,0.251876856,0.279270581,,,,
PA0122,rahU,0.000116272,0.004094266,1.64521932,0.426902067,6.154121703,1.030718433,0.002777353,0.270590708,0.226689875,0.270590708,,,,
PA0039,PA0039,0.000118203,0.004135582,2.721328386,0.706870881,8.116207201,2.821288187,0.00058334,0.748916324,0.746483933,0.748916324,,,,
PA4625,cdrA,0.000122807,0.004269294,2.278532828,0.593297703,7.343933605,1.677161624,0.001151107,0.148408981,0.526852141,0.526852141,,,,
